handle,username,timestamp,content,topic,language,economic_policy,social_policy,economic_policy_rounded,social_policy_rounded
@SerbianPM,Aна Брнабић,2018-10-31T12:46:33.000Z,"At the Core Group meeting @MunSecConf in Minsk, we discussed current regional and global security topics. We remain dedicated to dialogue and finding a compromise and long-term sustainable solution for Kosovo and Metohija.",kosovo,en,0.1,0.5,0.0,0.5
@NesaStefanovic,Небојша Стефановић,2018-10-29T12:04:49.000Z,"The self-proclaimed “Kosovo” makes no use of the already existing channels of communication with INTERPOL through UNMIK. Information exchange is non-existent, which clearly demonstrates that they do not want @INTERPOL_HQ membership for the sake of fighting crime #Serbia #INTERPOL",kosovo,en,0.5,0.8,0.5,1.0
@SerbianPM,Aна Брнабић,2018-12-11T16:33:39.000Z,Frozen conflict is not a solution and it is certainly not good for either side - an important message by Slovak colleague @PellegriniP_ after today's meeting. We greatly appreciate the support of Slovakia regarding Kosovo and Metohija.,kosovo,en,0.1,0.5,0.0,0.5
@NesaStefanovic,Небојша Стефановић,2018-10-29T11:29:52.000Z,"The admission of the self-proclaimed “Kosovo” to @INTERPOL_HQ would constitute the most severe violation of international law, UNSCR 1244 to begin with, and unequivocal politicisation of this professional police organization. #Serbia #INTERPOL #Police",kosovo,en,0.5,0.8,0.5,1.0
@markodjuric,Марко Ђурић,2020-05-12T14:35:52.000Z,"Over the past few days, the medical doctors and other medical personnel of Serbian nationality who had worked for decades in healthcare institutions in the Serb-majority areas in Kosovo and Metohija, have been the target of a hate campaign.https://y_fbid=1796084027198543&id=248899258583702…",kosovo,en,0.3,0.9,0.5,1.0
@markodjuric,Марко Ђурић,2020-10-01T08:42:05.000Z,By forbiding Serbian minister Mladen Sarcevic to visit Kosovska Mitrovica administration in Pristina once again broke number of agreaments signed in Brussels. EU should urgently react to stop this kind of behaviour. @MiroslavLajcak   @JosepBorrellF,kosovo,en,0.3,0.9,0.5,1.0
@markodjuric,Марко Ђурић,2021-11-20T19:01:44.000Z,"1/2
Now, here’s an interesting twist. The Prime Minister of Kosovo* Mr. Albin Kurti is now conspicuously against “Kosovo’s independence”. 

Without any attempt at concealment, the strive for separation from Serbia is no longer the strive for independence;",kosovo,en,0.3,0.9,0.5,1.0
@markodjuric,Марко Ђурић,2020-07-09T19:32:53.000Z,"Kosovo and Metohija is a part of Serbia. When you live in one part of your country, you live in all the parts of your country. Every Serb has a spiritual home at Kosovo and Metohija, because that’s where our heart is. But you refuse to understand that.",kosovo,en,0.3,0.9,0.5,1.0
@SerbianPM,Aна Брнабић,2018-12-02T11:51:35.000Z,". @ESUtwt supported the protests of Serbian students in Kosovo and Metohija: in the 21st century, no student should be withheld from basic human rights.",kosovo,en,0.1,0.5,0.0,0.5
@markodjuric,Марко Ђурић,2020-05-14T16:48:12.000Z,Prishtina prevents doctors and nurses from entering #kosovo. This shouldn't happen anywhere in the world.https://@RichardGrenell @MiroslavLajcak @JosepBorrellF @aneichhorst @haradinajramush @HashimThaciRKS @KadriVeseliKS @albinkurti @IsaMustafaKS,kosovo,en,0.3,0.9,0.5,1.0
@AcaSapic,Aleksandar Šapić,2018-06-20T15:14:04.000Z,"Veliki sportista i svetski fudbalski as, a danas predsednik Liberije, Žorž Vea, dva puta je gubio izbore i čekao više od 10 godina da postane predsednik svoje zemlje.

Liberija povukla priznanje Kosova. 

Brat Vea. #Srbija",kosovo,und,0.0,0.4,0.0,0.5
@markodjuric,Марко Ђурић,2021-06-28T17:06:22.000Z,"Свакога Видовдана, ма где га славили, сећамо се чињенице да се сваки Србин, макар на Косово одлазио први пут, на њега заправо увек враћа.

На први Видовдан у деценији на који нисам у Србији, моје мисли су на Газиместану. 

Срећан празник! ",kosovo,sr,0.3,0.9,0.5,1.0
@Nevena_Djuric93,Невена Ђурић,2022-01-30T15:03:38.000Z,"На челу ""државотворне странке озбиљних људи"" - ""озбиљан човек""?
За ту титулу квалификовале су га коруптивне радње, прање пара и сарадња са белосветским криминалцима и то што га величају албански сепаратисти јер им је на тацни сервирао тзв. Независно Косово.
Озбиљно, продана душа!",kosovo,sr,0.3,0.9,0.5,1.0
@ZoranT11,Zoran Tomić,2022-02-07T21:48:47.000Z,Tajkunima smeta spomenik Stefanu Nemanji pa bi da ga izmeste...to je zapravo samo početak. Tako im smeta Kosovo i Metohija pa su radili da ga izmeste...smetala Vojvodina pa su radili da izmeste...smeta im i ostatak Srbije...kad bi dobili priliku završili bi započeto...,kosovo,und,0.5,0.7,0.5,0.5
@NesaStefanovic,Небојша Стефановић,2018-11-18T14:02:47.000Z,"Србија ће наставити да се бори, до самог гласања у уторак, како би показала да пријем такозваног „Косова“ у Интерпол представља политизацију ове полицијске организације, што је штетно не само за међународно право, већ и за све будуће полицијске операције.",kosovo,sr,0.5,0.8,0.5,1.0
@ZoranT11,Zoran Tomić,2022-02-16T22:19:07.000Z,"Reče čovek koji kad je dobio ponudu da se kao političar bori za Kosovo i Metohiju...to je odbio. Vidimo jasno za šta se bori, ne vidim da igde piše Kosovo i Metohija, ne vidim ni rešenje. Nude se prazne fraze koje mu je sugerisao njegov politički mentor zvani glupo pitanje.",kosovo,und,0.5,0.7,0.5,0.5
@avucic,Александар Вучић,2018-09-08T19:31:59.000Z,"Молим привреднике из централне Србије да сагледају могућности улагања и подршку нашем вредном народу на Косову и Метохији.
- Пословни форум у Лепосавићу https://e/a14458-Ulazite-i-u-srpske-i-u-albanske-sredine.html…",kosovo,sr,0.6,0.8,0.5,1.0
@adv_djukanovic,Владимир Ђукановић,2022-02-10T10:36:21.000Z,"Захвљујем госпођи Биљани Србљановић на овим епитетима. Част је када вас она осуди да сте расиста, а у својим коментарима износи крајње расистички поглед према Србима са Косова и Метохије. Како год, спуштати се на овај примитивни ниво другосрбијанштине и лажне  елите је ван памети",kosovo,sr,0.8,0.9,1.0,1.0
@avucic,Александар Вучић,2019-04-18T15:45:52.000Z,"Хвала вам што толико волите Србију и, пре свега, Косово и Метохију у Србији.
Cа Србимa који су пешице дошли са Косова и Метохије у Београд.",kosovo,sr,0.6,0.8,0.5,1.0
@avucic,Александар Вучић,2019-03-15T12:40:36.000Z,"Одлука Гренаде да повуче признање једнострано проглашене независности Косова 
је доказ принципијелности у поштовању међународног права. Cа министром спољних послова и рада Гренаде, Питером Чарлсом Дејвидом.",kosovo,sr,0.6,0.8,0.5,1.0
@avucic,Александар Вучић,2019-02-21T14:36:31.000Z,"Хвала Републици Бурунди на повлачењу признања једнострано проглашене независности Косова.
Cа министром иностраних послова Езекјелом Нибижиром.",kosovo,sr,0.6,0.8,0.5,1.0
@SerbianPM,Aна Брнабић,2021-10-18T10:40:20.000Z,"Демократска и паметна политика је победила.
Српској листи и целом нашем народу на Косову и Метохији честитам на достојанству, храбрости и упорности.
Ваша политика и ваша снага су путоказ свима нама како се бори за своју земљу.",kosovo,sr,0.1,0.5,0.0,0.5
@avucic,Александар Вучић,2018-12-18T11:10:14.000Z,Србија придаје посебан значај присуству и деловању УНМИК на Косову и Метохији. Cа генералним секретаром @UN Антонијом Гутересом о једностраним потезима Приштине и ситуацији у региону.,kosovo,sr,0.6,0.8,0.5,1.0
@avucic,Александар Вучић,2018-06-07T14:14:14.000Z,"Са амбасадором Руске Федерације @AVChepurin о ситуацији на северу Косова и Метохије, стању дијалога Београда и Приштине, као и о резултатимa посете Москви која је била од великог значаја за даљи развој свестране сарадње двеју земаља.",kosovo,sr,0.6,0.8,0.5,1.0
@avucic,Александар Вучић,2019-01-15T18:05:02.000Z,"Морамо да покажемо људима нову перспективу чланства у ЕУ,  без обзира на то када ће до тога доћи, јер то не зависи од нас.
Cа амбасадорима земаља чланица ЕУ и шефом Делегације ЕУ @FabriziSem o европском путу Србије, Косову и Метохији и ситуацији у региону.",kosovo,sr,0.6,0.8,0.5,1.0
@avucic,Александар Вучић,2018-04-19T18:28:32.000Z,"Косово и Метохија је најважније питање због којег сам веома забринут, али сам уверен да уз подршку @FedericaMog све тешкоће, опасности и препреке које се налазе на нашем путу можемо да избегнемо.",kosovo,sr,0.6,0.8,0.5,1.0
@markodjuric,Марко Ђурић,2021-03-24T18:00:18.000Z,"1/2 Албин Курти је најновијом објавом да не жели ни да разговара о формирању ЗСО, што је потписана и преузета, међународно гарантована обавеза Косова, на најбестијалнији начин објавио крај дијалога. Објављујући да не жели ни да разговара...",kosovo,sr,0.3,0.9,0.5,1.0
@avucic,Александар Вучић,2019-09-19T17:58:11.000Z,"Присуство УН, односно УНМИК, као и других међународних мисија на КиМ, више је него потребно као гаранција безбедности српског народа.
Cа специјалним изаслаником генералног секретара @UN и шефом Мисије УН на Косову и Метохији Захиром Танином.",kosovo,sr,0.6,0.8,0.5,1.0
@Vladimir_Orlic,Др Владимир Орлић,2022-03-04T19:41:19.000Z,"Чудно.. За листу пријавили - више потписа, уз сво оно кукање о ""опструкцији"". А сад били сами, овериваче имали где год су хтели, колико год су хтели, и - за исти број дана, 25% мање потписа узели? Растераше и оно мало људи: ""тимом"" љубитеља независног Косова и приче о ""геноциду""?",kosovo,sr,0.4,0.8,0.5,1.0
@adv_djukanovic,Владимир Ђукановић,2022-03-01T00:04:47.000Z,"Хајде то што без трунке стида објављују карту на којој је Србија без Косова и Метохије, већ на овај начин врше притисак на земљу домаћина да њену политику усклади са америчким интересима. Позивам МСП и Владу Србије да упуте протесну ноту овој бестидној господи. 
Срам вас било!",kosovo,sr,0.8,0.9,1.0,1.0
@adv_djukanovic,Владимир Ђукановић,2022-03-01T07:00:32.000Z,"Значи, овако бестидно се правда то што америчка амбасада у Србији поставља на свом профилу слику Србије без Косова и Метохије. Пронашли су фотографију руског генерала коју први пут видим у животу и који је и могао и није могао да зна каква је картамиза њега. Имате ли стида?",kosovo,sr,0.8,0.9,1.0,1.0
@adv_djukanovic,Владимир Ђукановић,2022-03-03T09:43:24.000Z,"Србија је једина земља у Европи која није увела санкције Руској федерацији. Србија се чврсто држи међународних принципа, јер једино тако можемо да бранимо нашу позицију по питању Косова и Метохије. Захваљујемо Руској Федерацији која разуме ужасно тежак положај Србије.",kosovo,sr,0.8,0.9,1.0,1.0
@adv_djukanovic,Владимир Ђукановић,2022-03-03T07:32:57.000Z,"Читај да смо једина земља у Европи која није увела санкције. Руси то далеко више поштују него неки у Србији који би угрозили нашу позицију око Косова и Метохије, јер не поштују међународне принципе.",kosovo,sr,0.8,0.9,1.0,1.0
@adv_djukanovic,Владимир Ђукановић,2022-02-25T22:33:47.000Z,"Нико то нама не замера јер су свесни нашег положаја због Косова и Метохије. Вечерас је о томе говорио руски амбасадор у Београду. Санкције Белорусији не постоје. Уосталом, мислим да је недавно отишао наш амбасадор у Минск.",kosovo,sr,0.8,0.9,1.0,1.0
@PartizanusV,"Prof. dr Vladimir Vuletić, #CNB",2020-06-28T13:27:31.000Z,"If we forget Kosovo, what should we remember?",kosovo,en,0.3,0.5,0.5,0.5
@SasaRadulovich,Saša Radulović,2020-08-11T08:36:46.000Z,"Not just ""de jure part of Serbia"", but actual part of Serbia. The parliament of Serbia needs to state that the Brussels Agreement is null and void since Priština did not do their part and pass a Law on Kosovo and Metohija.",kosovo,en,0.2,0.6,0.0,0.5
@ArisMovsesijan,Aris Movsesijan,2019-07-15T13:19:58.000Z,"""Ultimately, Slovakia’s position on Kosovo seems likely to shift only in response to internal factors rather than external pressures. But external factors will be crucial in providing legitimacy for recognition when it becomes a more realistic option.""",kosovo,en,0.3,-0.6,0.5,-0.5
@ArisMovsesijan,Aris Movsesijan,2019-09-13T07:04:43.000Z,"Comment: The Kosovo 
Serb speaker was so lackluster that Simo Spasic, who heads an organization representing the families of missing persons in Kosovo, walked out of the congress complaining that the SNS had not brought in a real Kosovo Serb from Mitrovica.  End Comment.",kosovo,en,0.3,-0.6,0.5,-0.5
@SasaRadulovich,Saša Radulović,2022-01-02T15:54:41.000Z,"Притисак ради. Поправили. Косово је Србија.

А 16.јануара бранимо Устав. Кажи НЕ и одбрани сувереност народа.",kosovo,sr,0.2,0.6,0.0,0.5
@DostaJeBilo,ДЈБ - Суверенисти,2019-02-20T12:09:15.000Z, Nećemo u Evropsku uniju.  Nećemo u NATO. Globalistički projekti nas ne interesuju. Ne damo Kosovo i Metohiju. Ko god kaže da je KiM izgubljeno - laže vas. Nećemo da postanemo jeftina radna snaga u našij zemlji.@SasaRadulovich,kosovo,und,0.2,0.6,0.0,0.5
@ArisMovsesijan,Aris Movsesijan,2018-06-29T12:06:55.000Z,"Hajde sad lepo priznajte, ko se zezao sa Dačićem i slao mu mejl povlačenja priznanja Kosova?! :-)",kosovo,und,0.3,-0.6,0.5,-0.5
@NovaStranka,Nova stranka,2019-05-27T18:17:50.000Z,"Ko švercuje srpsku robu na Kosovo od kad je uvedena taksa? Ono što govore službe je da iz Beograda to radi „nešto kao Asomakum“, kao i sa prištinske strane. Neka Vučić danas kaže da ni on ni onaj Radojičić ne znaju ko švercuje srpsku robu na Kosovo“, poručio je @ZoranDirektno.",kosovo,und,0.4,-0.5,0.5,-0.5
@SasaRadulovich,Saša Radulović,2021-08-09T19:04:19.000Z,"Замислите да у Приштини постоји један овакав политичар који каже да је Косово Србија и да постоји један медиј који је то спреман да објави. Не можете? Ни ја.

Свуда у региону Н1 подржава националистичку политику. Једино у Србији Н1 промовише аутошовинизам.",kosovo,sr,0.2,0.6,0.0,0.5
@PartizanusV,"Prof. dr Vladimir Vuletić, #CNB",2020-04-26T09:37:23.000Z,"“Ti mislis daleko je Levač od Kosova a Kosovo ce ti sutra stići u Levač. 
I nemojte vi da mi pričate o seljacima, nije vama ni do seljaka ni do Srbije. Vama je svejedno da li ce vam Levač, Braničevo, Tamnava ili Mačva, osvanuti sutra u Ugarskoj ili Turskoj...”",kosovo,und,0.3,0.5,0.5,0.5
@BoskoObradovic,Бошко Обрадовић,2021-03-05T17:42:35.000Z,"Владико, хвала ти за сваки тренутак у коме си у нама пробудио децу Божију, људе Христове и истинске Србе! Сачувао си од незаборава сва наша страдања ""Од Косова до Јадовна"". Уврстио си у Календар Светих златоусте Николаја и Јустина и отишао за нашим Митрополитом у Небеску Србију!",kosovo,sr,0.4,0.8,0.5,1.0
@ArisMovsesijan,Aris Movsesijan,2018-03-23T19:01:58.000Z,"Sad ove mlade rukometašice vozite vozom koji nikad nije stigao do Kosova i ponavljajte: „Faktor stabilnosti, faktor stabilnosti...“",kosovo,und,0.3,-0.6,0.5,-0.5
@BoskoObradovic,Бошко Обрадовић,2020-09-05T08:11:52.000Z,"Посебно спорно је прихватање да се Србија на годину дана уздржи од сваке даље кампање у процесу повлачења признања независности Косова, а још више да држава Србија неће смети да било коме упути захтев за непризнавање ове лажне државе. Ово је заправо поента читавог Споразума.",kosovo,sr,0.4,0.8,0.5,1.0
@SPDveri,ДВЕРИ,2020-12-27T11:06:27.000Z,"На кратко је пробијен медијски мрак и на партијском гласилу @sns_srbija. 

Чуло се јасно и гласно - ""Зовите ове издајнике на челу са Александром Вучићем @avucic"" и ""Дрецун лаже Србе са Косова и Метохије!""",kosovo,sr,0.3,0.8,0.5,1.0
@BoskoObradovic,Бошко Обрадовић,2021-12-30T08:35:40.000Z,"Неће нама европске бирократе мењати наш Устав! Српски Устав није на продају! Процедура измене Устава је недемократска и пуна манипулација: нелегитимни једнопартијски парламент без опозиције, медијски мрак, одсуство јавне расправе! Ако ово прође, следећи су Косово и Ринто тинто!",kosovo,sr,0.4,0.8,0.5,1.0
@BoskoObradovic,Бошко Обрадовић,2020-09-04T18:52:19.000Z,"Ко је овластио @avucic да потписује било шта у Вашингтону и третира лажну државу Косово као независну државу? Када ћемо видети шта је тачно потписао, сем Велике Албаније и пристанка да се више не бори против признања независности Косова као претпоследњег корака до пуног признања?",kosovo,sr,0.4,0.8,0.5,1.0
@BoskoObradovic,Бошко Обрадовић,2020-09-05T08:04:00.000Z,"У  ""Вашингтонском споразуму"" више нема Косова ""са звездицом"", нема ни помена Резолуције 12 44 СБ УН, нема Заједнице српских општина, седи се и преговара на истом нивоу са лажном државом којој се тиме даје признање, а да не говоримо о свеукупном дипломатском понижењу Србије.",kosovo,sr,0.4,0.8,0.5,1.0
@BoskoObradovic,Бошко Обрадовић,2021-10-29T06:58:26.000Z,"Не капирам како ће Виола фон Крамон која је за независно Косово да нам помогне? Зашто Зелено-Леви доводе у Србију главног лобисту лажне државе Косово? Да ли је то и њихов став? Шта ли тек мисли о НАТО бомбардовању Србије које је заговарао њен ""зелени"" политички отац Јошка Фишер?",kosovo,sr,0.4,0.8,0.5,1.0
@BoskoObradovic,Бошко Обрадовић,2021-10-13T10:32:33.000Z,"Срби на Косову и Метохији сада, нажалост, трпе последице коалиције између @sns_srbija и албанских сепаратиста у Приштини. Српска листа је била у власти и Тачија и Харадинаја, и сада је још увек у власти са Куртијем, и то док им коалициони партнери пуцају на Србе на северу КиМ?",kosovo,sr,0.4,0.8,0.5,1.0
@DostaJeBilo,ДЈБ - Суверенисти,2021-01-11T00:13:01.000Z,"Poslanici pokreta @dosta_je_bilo su 2018. Narodnoj skupštini podneli kopiju nacrta zakona o Kosovu i Metohiji. Država Srbija je u obavezi prema Ustavu iz 2006. godine da donese zakon o KiM-u.

Nijedna vlast više od 15 godina nije inicirala kreiranje ovakvog zakona.",kosovo,und,0.2,0.6,0.0,0.5
@BoskoObradovic,Бошко Обрадовић,2020-08-09T15:24:14.000Z,"Више пута сам рекао и поновићу: @avucic ће се пре одрећи Пећке Патријаршије, Дечана и Грачанице него @zeljkomitrovic и његове пропаганде. Одбрана ТВ ПИНК за @sns_srbija је важнија од одбране Косова и Метохије. Зато је и поштено да са одласком овог режима оде и ТВ ПИНК у прошлост.",kosovo,sr,0.4,0.8,0.5,1.0
@BoskoObradovic,Бошко Обрадовић,2020-06-15T07:26:17.000Z,Велика и важна национална ствар! И у прави час! Честитамо и надамо се сарадњи свих родољубивих и патриотских снага у одбрани и очувању Косова и Метохије у саставу Србије. Ово је уставобранитељски покрет који треба сви да подржимо без обзира на страначка и друга опредељења.,kosovo,sr,0.4,0.8,0.5,1.0
@BoskoObradovic,Бошко Обрадовић,2020-07-07T11:31:05.000Z,"Зашто се ових дана и недеља толико убрзавају ови преговори између тзв. Београда и тзв. Приштине ако циљ није хитно признање лажне државе Косова као независне од стране државе Србије, њен улазак у УН и стварање Велике Албаније? Чему друго журба? Да ли је неко раније нешто обећао?",kosovo,sr,0.4,0.8,0.5,1.0
@PartizanusV,"Prof. dr Vladimir Vuletić, #CNB",2021-08-16T13:05:48.000Z,"Pokret ""CRNO NA BELO - za pravednu Srbiju"" izražava ozbiljnu zabrinutost usled najavljene spremnosti tzv. Vlade Kosova da na teritoriju KiM prihvati izbeglice i migrante iz ratom zahvaćenog Avganistana. 
Razumemo i u potpunosti saosećamo sa avganistanskim narodom",kosovo,und,0.3,0.5,0.5,0.5
@BoskoObradovic,Бошко Обрадовић,2021-01-31T08:36:00.000Z,"Много је коректније отворено рећи да си за признање независности лажне државе Косова зарад додворавања ЕУ која нас неће и добрих односа у региону на нашу штету, него причати неке празне приче које Србе на КиМ третирају као националну мањину и дијаспору.",kosovo,sr,0.4,0.8,0.5,1.0
@SasaRadulovich,Saša Radulović,2020-08-02T11:09:53.000Z,"Ako želite da odbranite Kosovo i Methoiju, OBRARANJE FALSIFIKOVANIH IZBORA je način. Tako vlast gubi skupštinu, gubi vladu i pravo potpisa.

Večeras na protest, sutra na blokadu Narodne Skupštine.http://Vilson-Vucic-priprema-narod-za-teske-odluke.html…",kosovo,und,0.2,0.6,0.0,0.5
@DostaJeBilo,ДЈБ - Суверенисти,2018-09-28T14:18:00.000Z,"Ukoliko Vučić uspe da sa Nemačkom “završi” Kosovo, nemačka pozicija na Balkanu će postati cementirana, a njegova autokratija u Srbiji stalna. Srbiji se zbog geopolitičkog sukoba unutar Zapada pružila prilika da promeni politiku i izađe iz kandži Nemačke.",kosovo,und,0.2,0.6,0.0,0.5
@SasaRadulovich,Saša Radulović,2020-05-03T09:11:54.000Z,"Srbija je prepuna političara opšte namene, lažnih opozicionara, preletača, oportunista, beskičmenjaka, lažnih boraca za vladavinu prava i poštovanje Ustava, lažnih boraca za Kosovo i Metohiju. Kao da ih je sve zajedno UDBA pravila.

Njih nam podmeću već 30 godina. Dosta je bilo.",kosovo,und,0.2,0.6,0.0,0.5
@BoskoObradovic,Бошко Обрадовић,2020-09-04T07:13:22.000Z,"Неовлашћена делегација на челу са председником @sns_srbija нема право да у Вашингтону било шта преговара о Косову и Метохији јер то није уставна надлежност председника Србије већ Владе, која шаље подршку иако јој је истекао мандат пре три месеца и налази се у техничком мандату.",kosovo,sr,0.4,0.8,0.5,1.0
@BoskoObradovic,Бошко Обрадовић,2020-09-04T08:16:03.000Z,"Не могу Србија и тзв. Косово ништа да потписују као две државе, јер нити једна суверена држава на свету не потписује споразум са својом покрајином, и то пред трећом страном. Нити је @avucic и ова смешна делегација @sns_srbija овлашћена да било шта потписује било кад и било где. https://01788831948177409…",kosovo,sr,0.4,0.8,0.5,1.0
@SasaRadulovich,Saša Radulović,2021-07-05T09:37:24.000Z,"Srbija treba da u pregovorima ponavlja jednu rečenicu:

Priština se obavezala na formiranje ZSO. Srbija očekuje da Priština ispuni tu svoju obavezu.

Za to vreme, Srbija treba da usvoji Zakon o Kosovu i Metohiji i ispuni ustavnu obavezu iz 2006.https://8/djb-predstavio-javnosti-nacrt-zakona-o-kosovu-i-metohiji/…",kosovo,und,0.2,0.6,0.0,0.5
@SasaRadulovich,Saša Radulović,2021-12-01T11:28:48.000Z,"Победа на референдуму и глас НЕ је пут и за заустављање Рио Тинта, и за укидање Закона о експропријацији и за укидање ковид аусвајса и за чување Косова и Метохије и Републике Српске и за спас Србије.

Зашто се на протестима ћути о овоме? Рокфелер није за то платио?",kosovo,sr,0.2,0.6,0.0,0.5
@SasaRadulovich,Saša Radulović,2019-12-30T10:50:36.000Z,"Teme koje forsiraju N1, Danas i ostali ""opozicioni mediji"" su teme koje su blagougodne za 35% biračkog tela, a bezopasne po vlast. U isto vreme oni podržavaju Vučićevu politiku: EU nema alaternativu, nezavisnost Kosova, migrante, privatizaciju svega, subvencije ...",kosovo,und,0.2,0.6,0.0,0.5
@NovaStranka,Nova stranka,2022-03-02T19:58:23.000Z,"""U Drugom ratu su nas oslobodili sa zapadnim saveznicima, to priznajem. 1948. Informbiro, gde je tu ljubav? 1999. šta su nam pomogli? Nismo tad od Rusa dobili ni dve sardine. 2000. i 2001. je UČK sa Kosova dolazio u Preševsku dolinu preko granice koju je kontrolisala Rusija."" 2/2",kosovo,und,0.4,-0.5,0.5,-0.5
@SasaRadulovich,Saša Radulović,2022-03-02T19:34:06.000Z,Огромна грешка власти која нас може јако много коштати у одбрани Косова и Метохије. Довољно је да Русија одустану од свог вета. То би повукло и Кину за собом. Надамо да ће Русија ово схватити као резултат огромних притисака ЕУ под којим је поклекла власт и да није глас народа.,kosovo,sr,0.2,0.6,0.0,0.5
@SasaRadulovich,Saša Radulović,2021-09-23T10:56:18.000Z,"Које теме интересују меке гласаче власти и апстиненте:
- одбрана државних и националних интереса, Косова и Метохије, Републике Срспке, заштита српског народа у региону
- сталан посао
- лична слобода
- противљење ковид аусвајсима и обавезној вакцинацији посебно деце",kosovo,sr,0.2,0.6,0.0,0.5
@DostaJeBilo,ДЈБ - Суверенисти,2020-03-04T10:33:23.000Z, Obaveza koju je imala i prethodna i sadašnja vlast jeste da donese Zakon o Kosovu i Metohiji. Nijedna to nije uradila.Mi smo jedina politička opcija koja je predložila rešenje za KiM. @SasaRadulovich https://,kosovo,und,0.2,0.6,0.0,0.5
@SasaRadulovich,Saša Radulović,2021-07-04T12:34:03.000Z,"Srbija nema nikakve teritorijalne pretenzije prema bilo kojoj susednoj državi. Kosovo i Metohija je Srbija. Srbija je garant Republike Srpske.

Ali Srbija ne sme dozvoliti da se briše identitet i poreklo našeg naroda u celom regionu.",kosovo,und,0.2,0.6,0.0,0.5
@DostaJeBilo,ДЈБ - Суверенисти,2018-12-14T14:09:55.000Z,"DJB već duže vremena predlaže Vladi RS da promeni svoju politiku na Kosovu i Metohiji, zamrzne briselski dijalog dok Priština ne osnuje ZSO na šta se obavezala sporazumom pre 6 godina, usvoji Zakon o KiM koji je u skladu sa Rezolucijom 1244 i Ustavom RS.",kosovo,und,0.2,0.6,0.0,0.5
@DostaJeBilo,ДЈБ - Суверенисти,2022-03-03T12:22:26.000Z,"Прикључење Србије земљама које су у УН резолуцијом осудиле Русију представља огромну грешку српских власти, јер Русија сада може одустати од права вета у одбрани Косова и Метохије.

Србија не треба да стаје на страну НАТО у овом сукобу.",kosovo,sr,0.2,0.6,0.0,0.5
